code;id;state;region;province;location;station;dataset;filename;frequency;longitude;latitude;elevation
ASM00094275;;;;;;GEORGETOWN POST OFFICE;ghcnd;ASM00094275;01d;143.5500;-18.3000;295.0
ASM00094299;;;;;;WILLIS ISLAND;ghcnd;ASM00094299;01d;149.9650;-16.2880;9.0
ASM00094940;;;;;;JERVIS BAY;ghcnd;ASM00094940;01d;150.8000;-35.0830;85.0
ASM00094995;;;;;;LORD HOWE ISLAND AERO;ghcnd;ASM00094995;01d;159.0790;-31.5420;7.0
ASM00094997;;;;;;HEARD ISLAND (THE SPIT);ghcnd;ASM00094997;01d;73.7170;-53.1000;12.0
ASM00094998;;;;;;MACQUARIE ISLAND;ghcnd;ASM00094998;01d;158.9370;-54.4990;8.3
ASM00095997;;;;;;HEARD ISLAND (ATLAS COVE);ghcnd;ASM00095997;01d;73.4000;-53.0170;4.0
ASN00001000;;;;;;KARUNJIE;ghcnd;ASN00001000;01d;127.1956;-16.2919;320.0
ASN00001001;;;;;;OOMBULGURRI;ghcnd;ASN00001001;01d;127.8456;-15.1806;2.0
ASN00001003;;;;;;PAGO MISSION;ghcnd;ASN00001003;01d;126.7158;-14.1331;5.0
ASN00001004;;;;;;KUNMUNYA;ghcnd;ASN00001004;01d;124.7167;-15.4167;47.0
ASN00001005;;;;;;WYNDHAM PORT;ghcnd;ASN00001005;01d;128.1000;-15.4644;20.0
ASN00001006;;;;;;WYNDHAM AERO;ghcnd;ASN00001006;01d;128.1503;-15.5100;3.8
ASN00001007;;;;;;TROUGHTON ISLAND;ghcnd;ASN00001007;01d;126.1485;-13.7542;6.0
ASN00001008;;;;;;MOUNT ELIZABETH OLD SITE;ghcnd;ASN00001008;01d;126.1825;-16.3017;640.0
ASN00001009;;;;;;KURI BAY;ghcnd;ASN00001009;01d;124.5222;-15.4875;12.0
ASN00001010;;;;;;THEDA;ghcnd;ASN00001010;01d;126.4964;-14.7883;210.0
ASN00001011;;;;;;PANTA DOWNS;ghcnd;ASN00001011;01d;124.9500;-16.0497;-999.9
ASN00001012;;;;;;MITCHELL PLATEAU;ghcnd;ASN00001012;01d;125.8258;-14.7925;315.0
ASN00001013;;;;;;WYNDHAM;ghcnd;ASN00001013;01d;128.1247;-15.4872;11.0
ASN00001014;;;;;;EMMA GORGE;ghcnd;ASN00001014;01d;128.1289;-15.9078;130.0
ASN00001016;;;;;;CARSON RIVER STATION;ghcnd;ASN00001016;01d;126.7664;-14.4861;59.0
