code;id;state;region;province;location;station;dataset;filename;frequency;longitude;latitude;elevation
000001;;SE;;;;VAEXJOE                                     ;eca;RR_STAID000001;01d;14.800000000;56.866666667;166
000002;;SE;;;;FALUN                                       ;eca;RR_STAID000002;01d;15.616666667;60.616666667;160
000003;;SE;;;;STENSELE                                    ;eca;RR_STAID000003;01d;17.166388889;65.066666667;325
000004;;SE;;;;LINKOEPING                                  ;eca;RR_STAID000004;01d;15.533055556;58.400000000;93
000005;;SE;;;;LINKOEPING-MALMSLAETT                       ;eca;RR_STAID000005;01d;15.533055556;58.400000000;93
000006;;SE;;;;KARLSTAD                                    ;eca;RR_STAID000006;01d;13.466666667;59.350000000;46
000007;;SE;;;;KARLSTAD-AIRPORT                            ;eca;RR_STAID000007;01d;13.337500000;59.444444444;107
000008;;SE;;;;OESTERSUND                                  ;eca;RR_STAID000008;01d;14.483055556;63.183055556;376
000009;;SE;;;;OESTERSUND-FROESOEN                         ;eca;RR_STAID000009;01d;14.483055556;63.183055556;376
000010;;SE;;;;STOCKHOLM                                   ;eca;RR_STAID000010;01d;18.050000000;59.350000000;44
000011;;AT;;;;KREMSMUENSTER (TAWES)                       ;eca;RR_STAID000011;01d;14.130833333;48.055000000;382
000012;;AT;;;;GRAZ-UNIVERSITAET                           ;eca;RR_STAID000012;01d;15.448888889;47.077777778;367
000013;;AT;;;;INNSBRUCK-UNIV                              ;eca;RR_STAID000013;01d;11.384166667;47.260000000;578
000014;;AT;;;;SALZBURG-FLUGHAFEN                          ;eca;RR_STAID000014;01d;13.008055556;47.789166667;430
000015;;AT;;;;SONNBLICK (TAWES)                           ;eca;RR_STAID000015;01d;12.957500000;47.054166667;3109
000016;;AT;;;;WIEN-HOHE WARTE                             ;eca;RR_STAID000016;01d;16.356388889;48.248333333;198
000021;;HR;;;;ZAGREB-GRIC                                 ;eca;RR_STAID000021;01d;15.978055556;45.816666667;156
000022;;CY;;;;AMIANDOS                                    ;eca;RR_STAID000022;01d;32.916666667;34.933055556;1360
000023;;CY;;;;LARNACA                                     ;eca;RR_STAID000023;01d;33.633055556;34.883055556;1
000024;;CY;;;;LIMASSOL                                    ;eca;RR_STAID000024;01d;33.049722222;34.666666667;5
000025;;CY;;;;NICOSIA                                     ;eca;RR_STAID000025;01d;33.350000000;35.166666667;160
000026;;CY;;;;POLIS                                       ;eca;RR_STAID000026;01d;32.433055556;35.033055556;20
000027;;CZ;;;;PRAHA-KLEMENTINUM                           ;eca;RR_STAID000027;01d;14.416388889;50.086388889;190
000028;;FI;;;;HELSINKI KAISANIEMI                         ;eca;RR_STAID000028;01d;24.947777778;60.175000000;4
000029;;FI;;;;JYVASKYLA LENTOASEMA                        ;eca;RR_STAID000029;01d;25.678333333;62.401944444;139
000030;;FI;;;;SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS      ;eca;RR_STAID000030;01d;26.633055556;67.365833333;179
000031;;FR;;;;MARSEILLE OBS. PALAIS-LONCHAMP              ;eca;RR_STAID000031;01d;5.396666667;43.305000000;75
000032;;FR;;;;BOURGES                                     ;eca;RR_STAID000032;01d;2.359444444;47.059166667;161
000033;;FR;;;;TOULOUSE-BLAGNAC                            ;eca;RR_STAID000033;01d;1.378888889;43.620833333;151
000034;;FR;;;;BORDEAUX-MERIGNAC                           ;eca;RR_STAID000034;01d;-0.691388889;44.830555556;47
000036;;FR;;;;PERPIGNAN                                   ;eca;RR_STAID000036;01d;2.872777778;42.736944444;42
000037;;FR;;;;LYON - ST EXUPERY                           ;eca;RR_STAID000037;01d;5.077777778;45.726388889;235
000039;;FR;;;;MARIGNANE                                   ;eca;RR_STAID000039;01d;5.215833333;43.437777778;9
000040;;DE;;;;BAMBERG                                     ;eca;RR_STAID000040;01d;10.921666667;49.875277778;240
000041;;DE;;;;BERLIN-DAHLEM                               ;eca;RR_STAID000041;01d;13.301666667;52.463888889;51
000042;;DE;;;;BREMEN                                      ;eca;RR_STAID000042;01d;8.799166667;53.046388889;4
000043;;DE;;;;DRESDEN WAHNSDORF                           ;eca;RR_STAID000043;01d;13.683055556;51.116666667;246
000044;;DE;;;;FRANKFURT                                   ;eca;RR_STAID000044;01d;8.598333333;50.046388889;112
000045;;DE;;;;HALLE                                       ;eca;RR_STAID000045;01d;11.950555556;51.514444444;93
000046;;DE;;;;HAMBURG BERGEDORF                           ;eca;RR_STAID000046;01d;10.242777778;53.480555556;35
000047;;DE;;;;HAMBURG FUHLSBUETTEL                        ;eca;RR_STAID000047;01d;9.990000000;53.635000000;11
000048;;DE;;;;HOHENPEISSENBERG                            ;eca;RR_STAID000048;01d;11.011666667;47.801666667;977
000049;;DE;;;;JENA STERNWARTE                             ;eca;RR_STAID000049;01d;11.584166667;50.926666667;155
000050;;DE;;;;KAISERSLAUTERN                              ;eca;RR_STAID000050;01d;7.736666667;49.425277778;285
000051;;DE;;;;KARLSRUHE                                   ;eca;RR_STAID000051;01d;8.365000000;49.039166667;112
000052;;DE;;;;MUENCHEN                                    ;eca;RR_STAID000052;01d;11.544166667;48.164166667;515
000053;;DE;;;;MUENSTER                                    ;eca;RR_STAID000053;01d;7.591388889;51.950555556;62
